Frame Number,Distance
1,17.11724277
2,21.02379604
3,16.2788206
4,17.11724277
5,20.09975124
6,16.76305461
7,17.08800749
8,11.40175425
9,3.16227766
10,10.04987562
11,13.03840481
12,20.02498439
13,9.848857802
14,11.18033989
15,15.29705854
16,14.31782106
17,15.23154621
18,26.41968963
19,23.02172887
20,20.61552813
21,30
22,32.80243893
23,35.17101079
24,38.01315562
25,41
26,43
27,59.53990259
28,52.08646657
29,65.00769185
30,67.00746227
31,63.03173804
32,62.07253821
33,58.30951895
34,73.00684899
35,80.00624976
36,84.02380615
37,76.4198927
38,81.58431222
39,71.80529228
40,75.92759709
41,65.1459899
42,52.63078947
43,71.58910532
44,66.28725368
45,70.09279564
46,54.34151268
47,49.03060269
48,63.07138812
49,63.5688603
50,58.54912467
51,63.34824386
52,62.36986452
53,76.29547824
54,82.56512581
55,82.37718131
56,75.13321503
57,79.07591289
58,78.08969202
59,78.64477096
60,79.62411695
61,84.40379138
62,85.0940656
63,84.20213774
64,93.68030743
65,94.25497334
66,92.72000863
67,86.97700846
68,95.8018789
69,103.7400598
70,107.0046728
71,100
72,99.46356117
73,91.00549434
74,108.5034562
75,122.0245877
76,122.8006515
77,142.7900557
78,152.118375
79,158.3161394
80,168.2973559
81,198.0908882
82,203.061567
83,220.1454065
84,215
85,236.2117694
86,248.0503981
87,246.0325182
88,239.0334705
89,237.0084387
90,233.0021459
91,232.1378901
92,239.0188277
93,233.1372986
94,221.0090496
95,226.4332131
96,218.3872707
97,216.3330765
98,212.6805116
99,219.7384809
100,208.1657993
101,195.829007
102,180.8009956
103,181.2760326
104,179.6106901
105,181.7058062
106,164.4384383
107,159.3047394
108,147.0850094
109,142.4148869
110,145.6742942
111,149.5660389
112,149.1106971
113,155.6309738
114,157.4579309
115,172.1307642
116,155.8589106
117,152.6106156
118,145
119,146.0308187
120,144.8378404
121,135.9595528
122,135.3403118
123,150.4426801
124,146.5093854
125,140.4635184
126,138.6542462
127,133.1540461
128,124.6635472
129,123.9758041
130,124.5351356
131,125.1319304
132,117.7115118
133,119.1007976
134,110.3539759
135,100.895986
136,99.84988733
137,85.0529247
138,87.2811549
139,76.32168761
140,78.23042886
141,66.12110102
142,67.26812024
143,61.00819617
144,54.08326913
145,59.43904441
146,46.06517123
147,36.87817783
148,24.73863375
149,18.43908891
150,13.92838828
151,23.34523506
152,20
153,24.04163056
154,26.07680962
155,31.82766093
156,33.42154993
157,31.6227766
158,37.53664876
159,35.4682957
160,40.49691346
161,35.11409973
162,34.88552709
163,38.28837944
164,46.01086828
165,42.94182111
166,33.73425559
167,18.43908891
168,28.63564213
169,25.49509757
170,18.02775638
171,23.02172887
172,24.04163056
173,26.2488095
174,33.24154028
175,26.83281573
176,24.18677324
177,25.49509757
178,27.01851217
179,27.20294102
180,28.01785145
181,34.71310992
182,52.77309921
183,59.03388857
184,37.33630941
185,43.73785546
186,43.41658669
187,52.39274759
188,55.08175742
189,65.19202405
190,58.42088668
191,49.04079934
192,44.10215414
193,47.26520919
194,63.50590524
195,58.42088668
196,62.20128616
197,54.14794548
198,49.25444142
199,54.91812087
200,50.009999
201,50.99019514
202,39.84971769
203,35.84689666
204,38.20994635
205,38.28837944
206,41.77319715
207,27.80287755
208,21.63330765
209,19.23538406
210,13.45362405
211,10.04987562
212,13.41640786
213,17.69180601
214,22.20360331
215,24.0208243
216,44.01136217
217,58.82176468
218,67.35725648
219,74
220,83.81527307
221,103.4456379
222,110.4219181
223,121.0495766
224,128.5768253
225,130.6024502
226,147.3838526
227,154.3243338
228,150.2165104
229,154.7384891
230,165.8734457
231,172.6528308
232,169
233,177.0254219
234,184.4586675
235,181.7965896
236,187.1309702
237,181.6204834
238,174.4133022
239,159.8405455
240,154.5736071
241,176.5672676
242,153.1012737
243,159.5399636
244,148.0033783
245,130.2497601
246,133.7759321
247,133.9589489
248,145.0861813
249,145.6605643
250,149.2146105
251,151.1621646
252,155.6181223
253,168.4428687
254,165.8463144
255,164.4019465
256,172.185946
257,173.1126801
258,167.8362297
259,169.4254999
260,167.7050983
261,166.9011684
262,172.7425831
263,148.5294584
264,163.6367929
265,175.4109461
266,175.5676508
267,187.4913331
268,199.4241711
269,212.433519
270,206.0218435
271,215.5203007
272,211.851363
273,200.5292996
274,197.4082065
275,197.8534811
276,206.3710251
277,207.9543219
278,221.5513484
279,223.8861318
280,235.2806834
281,245.4220854
282,8.602325267
283,14.4222051
284,10.77032961
285,7.071067812
286,4
287,8.062257748
288,16.15549442
289,15.62049935
290,17.72004515
291,24.08318916
292,18.02775638
293,22.02271555
294,20.39607805
295,19.23538406
296,16
297,10
298,16.1245155
299,12.36931688
300,16.03121954
301,20.09975124
302,24.0208243
303,20.02498439
304,17.2626765
305,17.72004515
306,22.8035085
307,14.86606875
308,10.81665383
309,4.242640687
310,3.605551275
311,4.472135955
312,2.828427125
313,5.385164807
314,7.071067812
315,11.3137085
