Frame Number,BOOSTING: not overlapped: 7; failed: 0,CSRT: not overlapped: 6; failed: 0,KCF: not overlapped: 6; failed: 2,MEDIANFLOW: not overlapped: 1; failed: 62,MIL: not overlapped: 6; failed: 0,MOSSE: not overlapped: 8; failed: 22,TLD: not overlapped: 34; failed: 12
1,15.13274595,16.1245155,13.34166406,19.02629759,17.11724277,17.02938637,41.86884283
2,23.19482701,19.02629759,16.03121954,22.20360331,21.02379604,22.36067977,43.829214
3,18.24828759,10,7.211102551,12.16552506,16.2788206,17.11724277,48.02082881
4,28.28427125,13.15294644,9.848857802,20.88061302,17.11724277,22.56102835,51.4781507
5,23.34523506,19.41648784,11.40175425,1000,20.09975124,23.19482701,41.48493703
6,28.01785145,16.2788206,13.92838828,5.385164807,16.76305461,21.09502311,58.13776741
7,18,14.56021978,11.18033989,7.071067812,17.08800749,20.09975124,631.666051
8,10.44030651,5.385164807,10.29563014,11.40175425,11.40175425,14.03566885,652.4852489
9,6.08276253,5.385164807,19.23538406,21.02379604,3.16227766,3.605551275,664.9751875
10,10.63014581,10.44030651,28.63564213,29,10.04987562,6.403124237,677.853229
11,4.242640687,14.03566885,31.38470965,30.06659276,13.03840481,6.32455532,660.0189391
12,16.1245155,20.22374842,34.4818793,36.01388621,20.02498439,11.70469991,689.5687058
13,5.830951895,7.280109889,25.23885893,24.73863375,9.848857802,2,13.92838828
14,4.123105626,2,26.07680962,25.49509757,11.18033989,1.414213562,13.60147051
15,7.071067812,10.04987562,30.61045573,28.3019434,15.29705854,9.848857802,19.84943324
16,5.656854249,11.18033989,28.3019434,27.45906044,14.31782106,10.29563014,21.40093456
17,1,9.055385138,30,29.15475947,15.23154621,10.04987562,19.84943324
18,4.472135955,10.77032961,36.23534186,36.7151195,26.41968963,17.02938637,18.35755975
19,7,10.44030651,36.76955262,34.43835072,23.02172887,19.41648784,16.64331698
20,3.605551275,11.18033989,33.01514804,33.52610923,20.61552813,20.61552813,12.04159458
21,33.83784863,24.16609195,45.27692569,41.76122604,30,32.75667871,10.04987562
22,35.51056181,24.41311123,44.40720662,40.85339643,32.80243893,32.57299495,14.14213562
23,27.07397274,27.85677655,45.09988914,48.70318265,35.17101079,43.38202393,17
24,37.10795063,32.55764119,51.2445119,49.64876635,38.01315562,47.29693436,14.76482306
25,38.01315562,41.23105626,52.15361924,52.20153254,41,52,21.26029163
26,40.49691346,36,51.97114584,44.40720662,43,49.81967483,10.77032961
27,54.14794548,49.81967483,68.00735254,60.87692502,59.53990259,67.44627492,29.06888371
28,48.83646179,41.59326869,61.40032573,52.95280918,52.08646657,60.41522987,20.61552813
29,60.41522987,59.00847397,75.66372975,65.37583651,65.00769185,72.83543094,31.25699922
30,62.09669879,58.03447251,76.29547824,65.12296062,67.00746227,73.43704787,48.08326112
31,56.88585061,47.09564736,70.57619995,61,63.03173804,70.40596566,41.03656906
32,60.01666435,53.03772242,70.85901495,60.8276253,62.07253821,71.19691005,43.13930922
33,53.60037313,47.16990566,65.62011887,56.5154846,58.30951895,67.68308504,38.18376618
34,69.63476143,64,78.44743463,69.46221995,73.00684899,80.62257748,53.41348144
35,75.31268154,68.02940541,87.29833904,76.4198927,80.00624976,87.69264507,36
36,78.08969202,71.0070419,90.93404203,79.51100553,84.02380615,90.7964757,42.20189569
37,74.63243263,66.75327707,13.60147051,72.00694411,76.4198927,83.00602388,39.44616585
38,79.30952024,72.277244,18.68154169,74.67261881,81.58431222,85.28774824,47.01063709
39,69.3181073,62.64183905,27.01851217,64.77653896,71.80529228,74.43117626,38.94868419
40,73.79024326,67.44627492,23.32380758,70.03570518,75.92759709,78.51751397,43.13930922
